11:39:26(182) , [EZNET:EVENT]  =========================================================
11:39:26(182) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
11:39:26(182) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
11:39:26(202) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
11:39:26(202) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
11:39:26(202) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:39:26(202) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
11:39:26(202) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:39:26(219) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
12:11:14(087) , [EZNET:EVENT]  =========================================================
12:11:14(087) , [EZNET:EVENT]  
12:11:14(100) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
12:11:14(100) , [EZNET:EVENT]  
12:11:14(100) , [EZNET:EVENT]  =========================================================
12:11:14(100) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
12:11:14(100) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
12:11:14(122) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
12:11:14(122) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
12:11:14(122) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
12:11:14(122) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
12:11:14(122) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
12:11:14(141) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
12:17:57(765) , [EZNET:EVENT]  =========================================================
12:17:57(766) , [EZNET:EVENT]  
12:17:57(788) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
12:17:57(788) , [EZNET:EVENT]  
12:17:57(788) , [EZNET:EVENT]  =========================================================
12:17:57(788) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
12:17:57(788) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
12:17:57(808) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
12:17:57(808) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
12:17:57(808) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
12:17:57(808) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
